fish,trial,frame,frame_raw,time_ms,pt_num,landmark,x,y,z
bass_1,s01,46,231,45,1,lj,2.94696,5.949606,4.368088
bass_1,s01,46,231,45,6,p2,8.501354462745665,5.123995282185108,6.380128001133433
bass_1,s01,46,231,45,4,pm,3.039259,6.302419,4.424435
bass_1,s01,46,231,45,8,quad,4.580331535406558,5.313072324166851,5.712009383735593
bass_1,s01,46,231,45,2,so,5.197765,5.078261,6.203069
bass_1,s01,46,231,45,7,uro,4.699204,4.77678,4.583971
bass_1,s01,47,232,46,5,basi,3.990663,5.168899,4.593074
bass_1,s01,47,232,46,3,eye,4.290232,6.372295,5.875463
bass_1,s01,47,232,46,1,lj,2.871891,5.995599,4.386755
bass_1,s01,47,232,46,6,p2,8.444791790674925,5.098666900912567,6.334192773571493
bass_1,s01,47,232,46,4,pm,3.036763,6.287447,4.441673
bass_1,s01,47,232,46,8,quad,4.475606536022358,5.325749776254659,5.6581400794758325
bass_1,s01,47,232,46,2,so,5.157554,5.044598,6.153922
bass_1,s01,47,232,46,7,uro,4.594017,4.820523,4.571144
bass_1,s01,48,233,47,5,basi,3.961372,5.196575,4.581675
bass_1,s01,48,233,47,3,eye,4.252552,6.331829,5.854921
bass_1,s01,48,233,47,1,lj,2.862274,5.988362,4.387384
bass_1,s01,48,233,47,6,p2,8.390808724197315,5.073703501831687,6.289223099184173
bass_1,s01,48,233,47,4,pm,3.011353,6.282055,4.450876
